00001 Tarzan               A 00759.60
00002 Wayne                A 01000.00
00003 Bruce                A 01000.00
00004 Kent                 A 01000.00
00005 Goku                 D 01000.00
00006 Harvey               D 00000.02
00007 Gordon               A 01000.00
00008 Ramond               A 01000.00
00009 Helen                A 01000.00
00010 Fred                 A 99999.99
00011 Omar                 D 01000.00
00012 Richie               A 00000.02
00013 Paul                 A 00300.00
00014 Bill                 A 01000.00
00015 Steve                D 01000.00
00016 Dave                 A 00200.00
00017 Yoji                 A 00200.00
00018 Harley               A 00200.00
99999 END_OF_FILE          D 00000.00
