00001 Tarzan               A 000979.9 0000 N
00002 Wayne                A 001000.0 0000 N
00003 Bruce                A 001000.0 0000 N
00004 Kent                 A 001000.0 0000 N
00005 Goku                 D 001000.0 0000 N
00006 Harvey               D 00000.02 0000 S
00007 Gordon               A 001000.0 0000 N
00008 Ramond               A 001000.0 0000 N
00009 Helen                A 001000.0 0000 S
00010 Fred                 A 99999.99 0000 N
00011 Omar                 D 001000.0 0000 N
00012 Richie               A 00000.02 0000 N
00013 Paul                 A 000300.0 0000 N
00014 Bill                 A 001000.0 0000 N
00015 Steve                D 001000.0 0000 N
00016 Dave                 A 000200.0 0000 N
00017 Yoji                 A 000200.0 0000 N
00018 Harley               A 000200.0 0000 N
99999 END_OF_FILE          D 000000.0 0000 N
